index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,서상현: 파이썬: 내다보기 - PyCon Korea 2015,https://www.youtube.com/watch?v=0abmVNlkxRo,0abmVNlkxRo,PyCon Korea,@PyConKRtube,https://www.youtube.com/@PyConKRtube,20160827,1652,687,3,,"pycon,pyconkr",Education,프로그래밍 언어는 프로그래머와 컴퓨터 사이의 사용자 인터페이스로 기능합니다. 사용자 인터페이스로서의 파이썬 프로그래밍 언어의 미래를 고민해 봅니다.,https://i.ytimg.com/vi/0abmVNlkxRo/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=0abmVNlkxRo,https://www.youtube.com/watch?v=0abmVNlkxRo
2,박중석: Python on Azure - PyCon Korea 2015,https://www.youtube.com/watch?v=9DGxn-nyqSk,9DGxn-nyqSk,PyCon Korea,@PyConKRtube,https://www.youtube.com/@PyConKRtube,20160827,2919,193,4,,"pycon,pyconkr",Education,"이 세션에서는 퍼블릭 클라우드로서의 Azure의 활용도를 알아보고, Python 을 Azure 에서 사용하는 방법을 살펴봅니다. 인프라스트럭처 뿐만 아니라 플랫폼 기반의 클라우드 환경에 Python 과 Django를 이용하여 만든 웹 사이트를 배포하는 방법과 Python으로 활용할 수 있는 Azure 서비스 들에 대해서도 알아 봅니다.",https://i.ytimg.com/vi_webp/9DGxn-nyqSk/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=9DGxn-nyqSk,https://www.youtube.com/watch?v=9DGxn-nyqSk
3,임덕규: 업무에서 빠르게 만들어 사용하는 PyQt 프로그래밍 - PyCon Korea 2015,https://www.youtube.com/watch?v=UHqZMRbHcvc,UHqZMRbHcvc,PyCon Korea,@PyConKRtube,https://www.youtube.com/@PyConKRtube,20160827,2299,25506,223,2.0,"pycon,pyconkr",Education,PyQt는 C++의 크로스 플랫폼 프레임웍인 Qt를 Python에서 사용할 수 있도록 하는 프로젝트입니다.,https://i.ytimg.com/vi/UHqZMRbHcvc/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=UHqZMRbHcvc,https://www.youtube.com/watch?v=UHqZMRbHcvc
4,김경훈: NetworkX를 이용한 네트워크 링크 예측 - PyCon Korea 2015,https://www.youtube.com/watch?v=fzd15NH-voE,fzd15NH-voE,PyCon Korea,@PyConKRtube,https://www.youtube.com/@PyConKRtube,20160827,2470,585,10,,"pycon,pyconkr",,"이번 발표는 NetworkX의 기초적인 내용을 알고 계신 것을 가정하고 진행하는 네트워크 분석 중급편입니다. 지난 발표에서 건의해 주셨던 내용에 대한 피드백을 먼저 말씀드리고, 네트워크의 링크를 예측하기 위해 Numpy, Pandas 등을 이용한 데이터 전처리 과정, 네트워크의 링크를 예측한다는 건 무엇인지, 네트워크를 ipython에서 자유롭게 그리기 위해 d3.js를 사용하는 데모 등을 소개해 드립니다.",https://i.ytimg.com/vi/fzd15NH-voE/sddefault.jpg,0,False,False,,https://www.youtube.com/watch?v=fzd15NH-voE,https://www.youtube.com/watch?v=fzd15NH-voE
5,이호성: Python 테스트 시작하기 - PyCon Korea 2015,https://www.youtube.com/watch?v=hAUjItE42cY,hAUjItE42cY,PyCon Korea,@PyConKRtube,https://www.youtube.com/@PyConKRtube,20160827,2334,860,12,2.0,"pycon,pyconkr",Education,개발자들은 항상 테스트를 작성합니다. (그렇지 않다면 해야 합니다.) 하지만 좋은 테스트를 작성하는 것 뿐 아니라 프로젝트의 완료까지 테스트를 지속하는 것도 쉽지 않은 일입니다. 다음 내용들을 소개해 테스트에 익숙하지 않은 초보 개발자분들께 가이드라인을 제시하고자 합니다.,https://i.ytimg.com/vi_webp/hAUjItE42cY/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=hAUjItE42cY,https://www.youtube.com/watch?v=hAUjItE42cY
6,배준현: 파이썬 메모리 이모저모 - PyCon Korea 2015,https://www.youtube.com/watch?v=UwGHc6A0Jq8,UwGHc6A0Jq8,PyCon Korea,@PyConKRtube,https://www.youtube.com/@PyConKRtube,20160827,2260,1686,44,3.0,"pycon,pyconkr",Education,"다른 언어에 비해 메모리에 대해 신경 쓸 부분이 없다시피 한 파이썬이지만, 가끔씩 내부 메모리 처리에 대한 사전 지식이 없어 쉬운 길을 멀리 돌아가거나 예상치 못한 버그를 마주할 때가 있습니다. 이 발표에서는 파이썬이 내부적으로 메모리를 어떻게 관리하고 객체들이 메모리에 실제로 어떻게 저장되는지, GC는 어떻게 동작하는지, 파이썬에 객체와 메모리에 관련된 함수들과 모듈들은 어떤게 있는지, monkey patch 등의 코딩을 한층 쉽게 만들어주는 메모리 관련 트릭들은 대표적으로 어떤 것들이 있는지 설명합니다.",https://i.ytimg.com/vi/UwGHc6A0Jq8/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=UwGHc6A0Jq8,https://www.youtube.com/watch?v=UwGHc6A0Jq8
7,김영근: Writing fast code - PyCon Korea 2015,https://www.youtube.com/watch?v=UmJ9g0sqvVI,UmJ9g0sqvVI,PyCon Korea,@PyConKRtube,https://www.youtube.com/@PyConKRtube,20160827,2271,330,7,,"pycon,pyconkr",Education,"빠르게 동작하는 코드를 작성하기 위한 원리를 알아봅니다.

처리하는 일의 양을 줄여서 속도를 개선하는 방법(코드 최적화)과 같은 시간에 처리하는 일의 양을 늘려서 속도를 개선하는 방법(병렬화) 중 전자에 대해서 살펴봅니다. 컴퓨터와 파이썬의 내부 동작 원리를 가볍게 살펴본 후, dis 모듈과 각종 프로파일러(cProfile, line_profiler, profiling)를 이용하여 코드의 병목 지점을 찾아 이를 개선하는 과정을 알아봅니다.",https://i.ytimg.com/vi/UmJ9g0sqvVI/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=UmJ9g0sqvVI,https://www.youtube.com/watch?v=UmJ9g0sqvVI
8,최규민: 추천시스템이 word2vec을 만났을때 - PyCon Korea 2015,https://www.youtube.com/watch?v=iutEgQg7yws,iutEgQg7yws,PyCon Korea,@PyConKRtube,https://www.youtube.com/@PyConKRtube,20160827,2352,6502,125,1.0,"pycon,pyconkr",Education,"여기서 Great한 추천 시스템에 대하여 이야기를 하느냐? 아닙니다. !!!   저도 Great한 추천시스템이 무엇인지 모릅니다.
 하지만 Reasonable한 추천 시스템(Collaboration Filtering)부터 Word2vec을 이용한 색다른 추천 시스템이 구현되는 과정을 살펴 봄으로써, Great한 추천시스템을 만들기 위해 함께 고민하는 자리가 되었으면 합니다.",https://i.ytimg.com/vi/iutEgQg7yws/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=iutEgQg7yws,https://www.youtube.com/watch?v=iutEgQg7yws
9,강대성: Character Encoding in Python - PyCon Korea 2015,https://www.youtube.com/watch?v=PKC7syxaBVU,PKC7syxaBVU,PyCon Korea,@PyConKRtube,https://www.youtube.com/@PyConKRtube,20160827,2180,219,4,,"pycon,pyconkr",Education,"이 발표는 Character Encoding 개념을 소개하고, Python을 사용하면서 경험했던 인코딩 사례들을 공유하는 내용으로 진행합니다. 또한 Encoding 문제를 피하기 위한 방법을 제시합니다.",https://i.ytimg.com/vi_webp/PKC7syxaBVU/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=PKC7syxaBVU,https://www.youtube.com/watch?v=PKC7syxaBVU
10,김형관: Simulation on Optical Image Stabilizer using Python - PyCon Korea 2015,https://www.youtube.com/watch?v=dO8yLFL8UHY,dO8yLFL8UHY,PyCon Korea,@PyConKRtube,https://www.youtube.com/@PyConKRtube,20160827,1608,484,6,1.0,"pycon,pyconkr",Education,"본 세션에서는 Python의 control library를 이용하여 모바일 카메라에 탑재되는 광학식 손떨림 보정기능(OIS)을 구현해 봅니다. 손떨림 보정의 동작 원리에 대하여 간단히 설명한 후, 전달 함수의 설계, 딜레이 설정, 게인 및 각종 필터 설계, 피드백 연결을 통하여 시스템을 만듭니다. OIS는 비교적 기초적인 구조의 feedback system이며, 대부분 라이브러리화 되있기에 python으로 쉽게 구현 할 수 있습니다. 완성된 시뮬레이션 기능을 이용한 현업에서의 활용 방안과, 구현에 있어서 시행착오들을 공유하려 합니다.",https://i.ytimg.com/vi_webp/dO8yLFL8UHY/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=dO8yLFL8UHY,https://www.youtube.com/watch?v=dO8yLFL8UHY
11,PyCon KR 2015 Lighting Talk 1st day 라이트닝 토크 첫째날 20150830,https://www.youtube.com/watch?v=p0ClB3w6w-o,p0ClB3w6w-o,PyCon Korea,@PyConKRtube,https://www.youtube.com/@PyConKRtube,20160926,1912,143,2,,,Education,,https://i.ytimg.com/vi_webp/p0ClB3w6w-o/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=p0ClB3w6w-o,https://www.youtube.com/watch?v=p0ClB3w6w-o
12,배권한: 개회사 - PyCon Korea 2015,https://www.youtube.com/watch?v=l1xWtRA15DM,l1xWtRA15DM,PyCon Korea,@PyConKRtube,https://www.youtube.com/@PyConKRtube,20160827,529,51,1,,"pycon,pyconkr",Education,,https://i.ytimg.com/vi_webp/l1xWtRA15DM/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=l1xWtRA15DM,https://www.youtube.com/watch?v=l1xWtRA15DM
13,김도형: 파이썬 기반의 대규모 알고리즘 트레이딩 시스템 소개 - PyCon Korea 2015,https://www.youtube.com/watch?v=oEvWO_37rnc,oEvWO_37rnc,PyCon Korea,@PyConKRtube,https://www.youtube.com/@PyConKRtube,20160827,2879,29184,417,4.0,"pycon,pyconkr",Education,본 발표에서는 증권사 업무 자동화 시스템 중의 하나인 최적 집행 알고리즘 매매 시스템(Optimal Execution Algorithmic Trading System)을 소개하고 파이썬을 이용한 구현 경험을 공유합니다.,https://i.ytimg.com/vi_webp/oEvWO_37rnc/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=oEvWO_37rnc,https://www.youtube.com/watch?v=oEvWO_37rnc
14,Takayuki Shimizukawa: Sphinx autodoc: automated API documentation - PyCon Korea 2015,https://www.youtube.com/watch?v=xiFdf9Zx5SU,xiFdf9Zx5SU,PyCon Korea,@PyConKRtube,https://www.youtube.com/@PyConKRtube,20160827,2033,217,1,,"pycon,pyconkr",Education,"Sphinx can extract paragraphs from sphinx document and store them into gettext format translation catalog files.
Gettext format translation catalog is easy to translate from one language to other languages.
Also Sphinx support internationalization by using such catalog files.
You can use your favorite editors or services to translate your sphinx docs.
In this session, I'll explain 3 things; (1) entire process to translate sphinx docs. (2) automation mechanism for the process. (3) tips, tricks and traps for writing docs and translating.",https://i.ytimg.com/vi_webp/xiFdf9Zx5SU/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=xiFdf9Zx5SU,https://www.youtube.com/watch?v=xiFdf9Zx5SU
15,"신정규, 김준기: 연구자 및 교육자들을 위한 파이썬 기반의 계산 및 분석 플랫폼 설계 - PyCon Korea 2015",https://www.youtube.com/watch?v=APupiEb4IWE,APupiEb4IWE,PyCon Korea,@PyConKRtube,https://www.youtube.com/@PyConKRtube,20160827,2928,265,5,,"pycon,pyconkr",Education,"현대 과학 연구에는 컴퓨터를 이용한 계산 및 분석 작업이 필수적입니다. 그러나 거대 스케일의 계산 및 분석 작업을 수행할 경우 컴퓨팅 리소스의 적절한 관리 및 확장 용이성을 확보하는 것은 많은 리소스를 필요로 합니다. 우리는 컴퓨터 계산 작업 및 분석 작업을 표준화하고 클라우드에서 처리하는 파이썬3 기반의 오픈소스 플랫폼을 설계 및 개발하고 있습니다. 또한 이 플랫폼 위에서 돌아가는 교육 / 연구 플랫폼을 함께 설계하고 있습니다.

저희는 지난 2개월동안 이 과정을 통해 우리가 배운 것들을 공유하고자 합니다. 구체적으로는 개발 중인 플랫폼 구조, 설계 과정의 경험 및 python 3 기반의 플랫폼 개발시 주의할 점들에 대해 이야기하고, 그와 함께 이런 지뢰밭을 걷게 만든 '원동력' 에 대해 함께 이야기할 수 있는 자리가 되었으면 합니다.",https://i.ytimg.com/vi_webp/APupiEb4IWE/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=APupiEb4IWE,https://www.youtube.com/watch?v=APupiEb4IWE
16,이흥섭: Profiling - 실시간 대화식 프로파일러 - PyCon Korea 2015,https://www.youtube.com/watch?v=-1qLERwLmlk,-1qLERwLmlk,PyCon Korea,@PyConKRtube,https://www.youtube.com/@PyConKRtube,20160827,1842,247,4,,"pycon,pyconkr",Education,"야생의 땅: 듀랑고 - 게임서버의 성능을 개선하기 위해 실시간 프로파일러와 대화식 인터페이스를 만들었습니다. 새로운 프로파일러를 만들기 전 검토했던 다른 프로파일러들을 소개하고, 왜, 그리고 어떻게 새로운 프로파일러를 만들게 되었는지, 또 사용법과 향후 개발 계획은 어떻게 되는지 공유합니다.",https://i.ytimg.com/vi/-1qLERwLmlk/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=-1qLERwLmlk,https://www.youtube.com/watch?v=-1qLERwLmlk
17,오영택: 유연한 모바일 게임 운영을 위한 Git 기반 패치 시스템 - PyCon Korea 2015,https://www.youtube.com/watch?v=YN33c2idYl4,YN33c2idYl4,PyCon Korea,@PyConKRtube,https://www.youtube.com/@PyConKRtube,20160827,1603,183,2,,"pycon,pyconkr",Education,"쿠키런의 게임 패치 시스템은 파이썬으로 작성되었으며, bottle, pygit2 등을 이용하고 있습니다. 상기 요구사항들을 만족시키기 위해 현재의 시스템을 어떻게 구성했는지와 함께, 시스템 구축 및 실제 서비스 과정에서의 경험을 공유하고자 합니다.",https://i.ytimg.com/vi/YN33c2idYl4/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=YN33c2idYl4,https://www.youtube.com/watch?v=YN33c2idYl4
